id,merchant_id,shopper_id,amount_cents,created_at,completed_at
3,7,125,44550,01/01/2018 02:51:00,
8,9,325,19061,01/01/2018 07:36:00,
16,2,77,32699,01/01/2018 15:12:00,
17,2,15,22403,01/01/2018 16:09:00,
26,6,87,5903,02/01/2018 00:46:00,
42,3,89,11894,02/01/2018 13:02:00,
43,4,356,22108,02/01/2018 13:48:00,
47,12,244,9919,02/01/2018 16:52:00,
60,7,298,39949,03/01/2018 04:00:00,
63,6,379,21060,03/01/2018 07:00:00,
66,13,282,24815,03/01/2018 10:00:00,
69,5,110,18120,03/01/2018 13:00:00,
74,14,173,41976,03/01/2018 18:00:00,
103,10,329,23309,04/01/2018 15:43:00,
108,9,246,2767,04/01/2018 19:08:00,
113,3,359,26876,04/01/2018 22:33:00,
4,9,11,18536,01/01/2018 03:48:00,03/01/2018 01:59:56
5,7,354,41530,01/01/2018 04:45:00,03/01/2018 05:13:16
6,14,217,18844,01/01/2018 05:42:00,02/01/2018 18:03:55
7,7,288,6599,01/01/2018 06:39:00,02/01/2018 16:41:25
9,5,87,41977,01/01/2018 08:33:00,03/01/2018 04:11:46
10,1,86,5933,01/01/2018 09:30:00,03/01/2018 01:02:43
12,14,388,31682,01/01/2018 11:24:00,03/01/2018 22:57:39
13,10,110,37713,01/01/2018 12:21:00,03/01/2018 15:16:48
14,13,122,4735,01/01/2018 13:18:00,03/01/2018 13:01:58
15,13,206,28497,01/01/2018 14:15:00,02/01/2018 18:48:28
18,13,16,10934,01/01/2018 17:06:00,04/01/2018 09:14:58
20,5,353,36713,01/01/2018 19:00:00,03/01/2018 11:46:44
21,10,328,28722,01/01/2018 19:57:00,03/01/2018 00:33:58
22,8,327,28871,01/01/2018 20:54:00,03/01/2018 20:05:47
23,12,364,17246,01/01/2018 21:51:00,04/01/2018 07:38:03
24,3,24,34118,01/01/2018 22:48:00,03/01/2018 03:35:42
27,10,256,38282,02/01/2018 01:32:00,04/01/2018 05:08:16
28,12,38,2584,02/01/2018 02:18:00,03/01/2018 11:46:41
29,10,390,6366,02/01/2018 03:04:00,03/01/2018 17:51:23
30,10,303,40576,02/01/2018 03:50:00,04/01/2018 11:27:25
31,14,379,7841,02/01/2018 04:36:00,04/01/2018 00:10:23
32,11,114,35573,02/01/2018 05:22:00,03/01/2018 05:52:43
34,1,131,26014,02/01/2018 06:54:00,03/01/2018 21:55:30
35,4,303,24058,02/01/2018 07:40:00,04/01/2018 11:54:27
36,11,328,28346,02/01/2018 08:26:00,04/01/2018 11:33:46
37,14,262,23985,02/01/2018 09:12:00,04/01/2018 23:38:21
38,8,398,21772,02/01/2018 09:58:00,04/01/2018 14:03:34
40,8,280,35555,02/01/2018 11:30:00,03/01/2018 20:37:49
41,14,327,10565,02/01/2018 12:16:00,04/01/2018 21:02:10
44,4,202,17903,02/01/2018 14:34:00,04/01/2018 16:17:59
45,6,140,16018,02/01/2018 15:20:00,04/01/2018 23:26:33
46,6,323,33295,02/01/2018 16:06:00,05/01/2018 06:08:53
49,12,81,9768,02/01/2018 18:24:00,05/01/2018 07:12:50
50,9,252,20757,02/01/2018 19:10:00,05/01/2018 06:38:57
51,6,164,24765,02/01/2018 19:56:00,05/01/2018 09:01:14
52,13,201,11024,02/01/2018 20:42:00,04/01/2018 15:22:41
53,2,290,29937,02/01/2018 21:28:00,05/01/2018 12:17:21
54,11,245,25108,02/01/2018 22:14:00,04/01/2018 18:08:36
56,11,310,7054,02/01/2018 23:46:00,04/01/2018 20:24:53
57,12,373,19247,03/01/2018 01:00:00,05/01/2018 06:48:32
58,12,227,36093,03/01/2018 02:00:00,04/01/2018 02:27:55
59,7,365,20316,03/01/2018 03:00:00,04/01/2018 13:55:59
61,7,310,11222,03/01/2018 05:00:00,05/01/2018 14:53:46
64,4,65,10372,03/01/2018 08:00:00,05/01/2018 09:27:56
65,3,164,22710,03/01/2018 09:00:00,05/01/2018 13:36:09
67,10,344,4757,03/01/2018 11:00:00,04/01/2018 18:08:34
68,6,321,25695,03/01/2018 12:00:00,05/01/2018 14:58:02
70,10,1,11720,03/01/2018 14:00:00,06/01/2018 04:02:18
72,7,349,16508,03/01/2018 16:00:00,05/01/2018 03:20:55
73,2,270,32117,03/01/2018 17:00:00,05/01/2018 22:19:42
75,10,100,16180,03/01/2018 19:00:00,05/01/2018 06:38:42
76,1,81,44198,03/01/2018 20:00:00,04/01/2018 22:52:52
77,8,301,38326,03/01/2018 21:00:00,05/01/2018 03:27:41
78,13,35,2673,03/01/2018 22:00:00,06/01/2018 05:12:02
80,9,319,7621,04/01/2018 00:00:00,06/01/2018 07:10:48
81,8,51,28191,04/01/2018 00:41:00,05/01/2018 16:53:28
82,9,208,34326,04/01/2018 01:22:00,06/01/2018 04:42:51
83,11,169,19709,04/01/2018 02:03:00,05/01/2018 11:24:22
84,3,350,34375,04/01/2018 02:44:00,06/01/2018 01:40:23
86,7,263,41837,04/01/2018 04:06:00,06/01/2018 02:52:30
87,13,383,36580,04/01/2018 04:47:00,05/01/2018 07:21:19
88,7,98,16410,04/01/2018 05:28:00,06/01/2018 16:32:45
89,14,358,24840,04/01/2018 06:09:00,06/01/2018 19:30:20
90,11,208,35477,04/01/2018 06:50:00,06/01/2018 04:32:09
92,7,389,9587,04/01/2018 08:12:00,05/01/2018 16:36:48
93,7,116,40414,04/01/2018 08:53:00,05/01/2018 12:20:00
94,11,236,8337,04/01/2018 09:34:00,06/01/2018 07:13:41
95,6,161,17636,04/01/2018 10:15:00,06/01/2018 15:26:21
96,11,13,10135,04/01/2018 10:56:00,06/01/2018 10:13:12
97,2,2,15309,04/01/2018 11:37:00,06/01/2018 20:44:44
99,2,293,42679,04/01/2018 12:59:00,07/01/2018 03:30:01
100,4,77,27313,04/01/2018 13:40:00,07/01/2018 01:17:05
101,10,241,8643,04/01/2018 14:21:00,06/01/2018 16:34:33
102,6,380,42825,04/01/2018 15:02:00,06/01/2018 22:58:15
104,11,292,18385,04/01/2018 16:24:00,05/01/2018 18:24:57
106,7,78,212,04/01/2018 17:46:00,06/01/2018 07:56:22
107,7,284,22216,04/01/2018 18:27:00,06/01/2018 18:52:26
109,3,267,44790,04/01/2018 19:49:00,06/01/2018 23:09:05
110,6,378,28467,04/01/2018 20:30:00,06/01/2018 06:01:10
111,13,364,7255,04/01/2018 21:11:00,07/01/2018 03:55:55
114,12,185,32858,04/01/2018 23:14:00,07/01/2018 05:13:40
115,3,261,35454,04/01/2018 23:55:00,06/01/2018 04:51:54
116,10,12,32647,05/01/2018 00:36:00,07/01/2018 12:32:47
117,4,66,20479,05/01/2018 01:12:00,06/01/2018 23:41:41
118,12,391,37795,05/01/2018 01:48:00,07/01/2018 07:31:20
119,5,294,9836,05/01/2018 02:24:00,06/01/2018 04:40:55
129,14,12,18340,05/01/2018 08:24:00,
130,9,86,29978,05/01/2018 09:00:00,
135,3,356,7020,05/01/2018 12:00:00,
138,10,139,14088,05/01/2018 13:48:00,
140,13,349,25330,05/01/2018 15:00:00,
145,6,82,44436,05/01/2018 18:00:00,
146,4,96,38590,05/01/2018 18:36:00,
150,13,326,33281,05/01/2018 21:00:00,
152,11,218,13888,05/01/2018 22:12:00,
157,3,107,28578,06/01/2018 01:48:00,
159,9,358,8165,06/01/2018 03:00:00,
167,12,373,32195,06/01/2018 07:48:00,
191,10,88,16796,06/01/2018 22:12:00,
199,9,282,443,07/01/2018 04:35:00,
213,1,324,28361,07/01/2018 17:25:00,
216,5,37,40786,07/01/2018 20:10:00,
219,11,13,9153,07/01/2018 22:55:00,
223,14,231,21941,08/01/2018 03:00:00,
225,8,29,36298,08/01/2018 05:00:00,
228,4,92,18348,08/01/2018 08:00:00,
235,2,144,31634,08/01/2018 15:00:00,
240,2,330,25655,08/01/2018 20:00:00,
123,4,11,18816,05/01/2018 04:48:00,07/01/2018 06:12:43
124,5,226,37788,05/01/2018 05:24:00,07/01/2018 20:22:18
125,14,218,15534,05/01/2018 06:00:00,06/01/2018 20:40:39
126,12,154,25140,05/01/2018 06:36:00,06/01/2018 19:50:51
127,2,258,9306,05/01/2018 07:12:00,07/01/2018 09:29:16
128,3,190,2609,05/01/2018 07:48:00,07/01/2018 16:59:23
132,2,92,37765,05/01/2018 10:12:00,07/01/2018 20:29:08
133,8,238,27420,05/01/2018 10:48:00,06/01/2018 19:09:49
134,9,194,19238,05/01/2018 11:24:00,07/01/2018 10:40:40
136,7,199,18570,05/01/2018 12:36:00,07/01/2018 16:53:27
137,11,140,13924,05/01/2018 13:12:00,06/01/2018 18:21:35
141,8,381,18521,05/01/2018 15:36:00,07/01/2018 20:53:03
142,3,83,7782,05/01/2018 16:12:00,07/01/2018 05:11:10
143,10,176,24203,05/01/2018 16:48:00,07/01/2018 12:16:56
144,12,367,6940,05/01/2018 17:24:00,08/01/2018 03:39:41
147,6,338,21998,05/01/2018 19:12:00,07/01/2018 18:17:59
149,11,58,39465,05/01/2018 20:24:00,07/01/2018 16:36:09
151,1,173,20455,05/01/2018 21:36:00,08/01/2018 09:22:03
153,7,233,2736,05/01/2018 22:48:00,08/01/2018 14:26:43
154,6,77,14677,05/01/2018 23:24:00,08/01/2018 06:01:50
155,6,320,16150,06/01/2018 00:36:00,08/01/2018 08:02:05
156,12,28,11485,06/01/2018 01:12:00,08/01/2018 00:58:45
160,5,200,6299,06/01/2018 03:36:00,08/01/2018 13:56:03
161,12,274,27212,06/01/2018 04:12:00,07/01/2018 13:37:35
162,6,236,20973,06/01/2018 04:48:00,07/01/2018 18:21:16
163,6,397,40936,06/01/2018 05:24:00,08/01/2018 23:50:38
164,14,279,2686,06/01/2018 06:00:00,08/01/2018 20:18:20
166,10,345,29355,06/01/2018 07:12:00,08/01/2018 03:17:44
168,2,251,20894,06/01/2018 08:24:00,08/01/2018 09:58:03
169,11,182,35114,06/01/2018 09:00:00,07/01/2018 22:33:59
170,12,348,25186,06/01/2018 09:36:00,07/01/2018 22:49:11
171,8,69,14202,06/01/2018 10:12:00,07/01/2018 23:45:56
173,14,185,25789,06/01/2018 11:24:00,08/01/2018 22:33:23
174,4,91,6228,06/01/2018 12:00:00,07/01/2018 22:37:16
175,14,400,41847,06/01/2018 12:36:00,07/01/2018 17:22:44
176,2,15,41963,06/01/2018 13:12:00,09/01/2018 01:16:00
177,11,161,21377,06/01/2018 13:48:00,09/01/2018 01:31:56
178,8,380,207,06/01/2018 14:24:00,08/01/2018 17:45:13
180,12,368,12466,06/01/2018 15:36:00,08/01/2018 02:10:47
181,2,103,43527,06/01/2018 16:12:00,08/01/2018 14:28:31
182,5,146,32364,06/01/2018 16:48:00,07/01/2018 22:55:12
183,13,156,11386,06/01/2018 17:24:00,08/01/2018 03:57:25
184,13,138,14435,06/01/2018 18:00:00,08/01/2018 15:45:58
186,3,139,4811,06/01/2018 19:12:00,09/01/2018 08:15:37
187,4,81,17858,06/01/2018 19:48:00,08/01/2018 03:54:42
188,14,286,44676,06/01/2018 20:24:00,09/01/2018 07:43:18
189,9,138,30113,06/01/2018 21:00:00,09/01/2018 10:03:32
190,3,262,281,06/01/2018 21:36:00,07/01/2018 22:06:03
193,12,177,36607,06/01/2018 23:24:00,09/01/2018 06:18:45
194,7,266,28045,07/01/2018 00:00:00,08/01/2018 12:31:19
195,10,195,10906,07/01/2018 00:55:00,08/01/2018 08:36:31
196,7,25,21923,07/01/2018 01:50:00,08/01/2018 02:53:21
197,6,260,13621,07/01/2018 02:45:00,09/01/2018 04:15:20
198,13,196,28735,07/01/2018 03:40:00,09/01/2018 15:11:48
201,12,162,40313,07/01/2018 06:25:00,09/01/2018 20:31:48
202,6,223,27124,07/01/2018 07:20:00,10/01/2018 00:40:39
203,4,42,31430,07/01/2018 08:15:00,08/01/2018 18:01:09
204,11,398,35492,07/01/2018 09:10:00,09/01/2018 14:09:20
205,11,71,22759,07/01/2018 10:05:00,09/01/2018 04:28:42
207,6,278,16679,07/01/2018 11:55:00,09/01/2018 06:57:41
208,9,97,8603,07/01/2018 12:50:00,09/01/2018 20:25:10
209,6,142,20246,07/01/2018 13:45:00,09/01/2018 22:42:43
210,12,39,31760,07/01/2018 14:40:00,10/01/2018 03:33:53
211,3,327,42285,07/01/2018 15:35:00,09/01/2018 15:09:16
214,6,41,22394,07/01/2018 18:20:00,09/01/2018 20:04:03
215,2,48,20783,07/01/2018 19:15:00,08/01/2018 20:32:01
217,6,300,17068,07/01/2018 21:05:00,09/01/2018 13:27:49
218,13,187,7701,07/01/2018 22:00:00,09/01/2018 22:49:50
220,14,218,3622,07/01/2018 23:50:00,10/01/2018 01:07:51
221,9,348,27533,08/01/2018 01:00:00,09/01/2018 11:51:50
224,3,6,7368,08/01/2018 04:00:00,09/01/2018 17:13:31
226,9,289,10363,08/01/2018 06:00:00,10/01/2018 08:39:15
227,10,17,14672,08/01/2018 07:00:00,09/01/2018 23:40:31
229,13,218,44799,08/01/2018 09:00:00,09/01/2018 15:45:15
230,8,348,26460,08/01/2018 10:00:00,09/01/2018 14:11:17
232,4,139,23026,08/01/2018 12:00:00,10/01/2018 16:06:09
